query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
106,0.8226,29.0084,736.2966,765.3050,ZRMFMDZIHZKFHY,euphodendroidin L,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,720.9010,211,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
107,0.5251,37.0544,774.3694,737.3150,STLFVIAKHLLGHJ,euphodendroidin B,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(CC)C)=O)=C)=O)[C@]3([H])[C@H]1O,734.0810,212,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
108,0.8634,72.0437,641.2948,569.2511,AKFIXMYXISUTAF,"(1S,6R,10S,13S,14R,15R)-1,6-dihydroxy-8-(hydroxymethyl)-4,12,12,15-tetramethyl-13-[(2-methylbutanoyl)oxy]-5-oxotetracyclo[8.5.0.0²,⁶.0¹¹,¹³]pentadeca-3,8-dien-14-yl (2E)-2-methylbut-2-enoate",C/C=C(\C)C(=O)O[C@@H]1[C@@H](C)[C@]2(O)C3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2C2C(C)(C)[C@@]21OC(=O)C(C)CC,739.1050,220,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Phorbol esters,Tetracyclic diterpenoids; Tigliane diterpenoids,Diterpenoids,Terpenoids
109,0.6611,69.0520,762.3040,693.2520,NOERPJFUTRUZHQ,"3,5,7,15-tetraacetoxy-8-benzoyloxy-2-hydroxy-9,14-dioxojatropha-6(17),11E-diene",C=C([C@@H]1OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C(C(C)(C)/C=C/[C@@H](C)C([C@]3(OC(C)=O)[C@]1([H])[C@@H](OC(C)=O)[C@](C)(O)C3)=O)=O,737.4030,222,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
110,0.6649,18.9814,698.2904,679.3090,WWNWMZIUAQDDRB,"5,7-diacetoxy-3-benzoyloxy-14,15-dihydroxy-8-(2-methylbutyryloxy)-9-oxojatropha-6(17),11E-diene",C=C([C@@H]1OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(CC)C)=O)C(C(C)(C)/C=C/[C@@H](C)[C@@H](O)[C@]2(O)[C@]1([H])[C@@H](OC(C3=CC=CC=C3)=O)[C@@H](C)C2)=O,755.2400,224,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
111,0.7291,58.9919,764.3231,823.3150,MYTOZWCQVXHVIO,"""2,5,8,9-tetracetoxy-15-hydroxy-3-benzoyloxyacetoxy-7-isobutyroyloxy-14-oxojatropha-6(17),11E-diene""",C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C)=O)=C)=O)[C@]2([H])[C@H]1OC(COC(C3=CC=CC=C3)=O)=O,753.2740,229,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
112,0.6649,55.0047,762.3067,707.3020,KYOXKUIYXAIFBB,euphodendroidin E,C[C@H]1C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,753.5360,231,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
113,0.8226,45.0066,720.2984,765.3050,ZRMFMDZIHZKFHY,euphodendroidin L,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,761.7320,232,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
114,0.6649,71.0348,722.3112,793.3460,IUQRTVVZUXBHMO,euphodendroidin M,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C(C)C)=O)=C)=O)[C@]2([H])[C@H]1OC(C3=CC=CC=C3)=O,761.0940,233,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
115,0.8966,0.0024,883.3314,883.3290,CRXDBBAZDKEROX,euphodendroidin R,C[C@@]1(OC(C2=CN=CC=C2)=O)C[C@](OC(C)=O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C3=CN=CC=C3)=O)[C@H](OC(C)=O)[C@@H](OC(C4=CC=CC=C4)=O)C([C@@H]5OC(C)=O)=C)=O)[C@]5([H])[C@H]1OC(C)=O,776.6770,235,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
116,0.8634,41.9390,747.3210,705.3820,FSLDBYNJYAUPDI,"beta-D-Glucopyranose, 1-O-[(2alpha,3beta,5xi,9xi,18xi,19alpha)-2,3,19,23,24-pentahydroxy-28-oxoolean-12-en-28-yl]-",CC1(C)CC[C@@]2(CC[C@]3(C)\C(=C/CC4[C@@]5(C)C[C@@H](O)[C@H](O)C(CO)(CO)C5CC[C@@]34C)C2[C@@H]1O)C(=O)O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O,770.3960,236,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,Oleanane triterpenoids,Triterpenoids,Terpenoids
117,0.7484,447.4137,442.1673,889.5810,KWOZSBGNAHVCKG,Bacteriopheophytin,CC[C@@H]1[C@H](C2=CC3=C(C(=C(N3)C=C4[C@H]([C@@H](C(=N4)C5=C6C(=C(C(=CC1=N2)N6)C)C(=O)[C@@H]5C(=O)OC)CCC(=O)OC/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)C)C(=O)C)C,770.1410,237,,,,,,,,Alkaloids
118,0.6649,180.0400,839.3070,659.2670,NLKSLCYYSLLAMB,"3,5,7,15-tetraacetoxy-2-hydroxy-8-isobutyroyloxy-9,14-dioxojatropha-6(17),11E-diene (2)",C=C([C@@H]1OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C(C(C)(C)/C=C/[C@@H](C)C([C@]2(OC(C)=O)[C@]1([H])[C@@H](OC(C)=O)[C@](C)(O)C2)=O)=O,772.2920,238,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
119,0.8358,10.0659,725.3389,715.2730,NGTHIBFWOPPSSB,euphodendroidin O,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1O,770.7700,239,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
120,0.6649,95.0686,730.3404,825.4090,OGWKCGZFUXNPDA,Vincristine,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,774.4860,241,,,,,,Aspidosperma type; Aspidosperma-Iboga hybrid type (Vinca alkaloids),Tryptophan alkaloids,Alkaloids
121,0.8636,0.0025,678.2875,678.2900,PHKOJKSYBBXXED,Rifamycin W,C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=O)C3=C(C(=C(C(=C3C2=O)O)C)O)C(=O)/C(=C/[C@@H]([C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)O)C)O)CO)/C)/C,781.8730,243,Organic compounds,Phenylpropanoids and polyketides,Macrolactams,,Macrolactams,Ansa macrolides,Macrolides,Polyketides
122,0.8358,55.0083,778.3033,723.2950,IIUWCHJZJFSKMD,euphodendroidin F,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,780.2550,245,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
123,0.8634,88.0162,641.2934,553.2772,AKFIXMYXISUTAF,"(1S,6R,10S,13S,14R,15R)-1,6-dihydroxy-8-(hydroxymethyl)-4,12,12,15-tetramethyl-13-[(2-methylbutanoyl)oxy]-5-oxotetracyclo[8.5.0.0²,⁶.0¹¹,¹³]pentadeca-3,8-dien-14-yl (2E)-2-methylbut-2-enoate",C/C=C(\C)C(=O)O[C@@H]1[C@@H](C)[C@]2(O)C3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2C2C(C)(C)[C@@]21OC(=O)C(C)CC,779.9290,246,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Phorbol esters,Tetracyclic diterpenoids; Tigliane diterpenoids,Diterpenoids,Terpenoids
124,0.6649,207.9963,861.3184,653.3221,FUZMQNZACIFDBL,Isohernandezine,COC1=C2OC3=CC=C(C[C@H]4N(C)CCC5=CC(OC)=C(OC6=C(OC)C(OC)=C(OC)C7=C6[C@H](CC(C=C1)=C2)N(C)CC7)C=C45)C=C3,778.5570,248,Organic compounds,Phenylpropanoids and polyketides,Tannins,,Tannins,Isoquinoline alkaloids; Tetrahydroisoquinoline alkaloids,Tyrosine alkaloids,Alkaloids
125,0.8226,82.0053,683.3037,765.3090,ZRMFMDZIHZKFHY,euphodendroidin L,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,789.0520,249,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
126,0.4677,301.1461,431.1639,732.3100,FSTKYJOKUUVVMY,"N-((S)-1,2,3-trimethoxy-10-(((S)-4-(methylthio)-1-oxo-1-(4-(pyrrolidin-1-ylsulfonyl)-1,4-diazepan-1-yl)butan-2-yl)amino)-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl)acetamide",O=C1C=C2C(=CC=C1NC(C(=O)N3CCN(CCC3)S(=O)(=O)N4CCCC4)CCSC)C5=C(OC)C(OC)=C(OC)C=C5CCC2NC(=O)C,789.3560,250,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Methionine and derivatives,,,Alkaloids
127,0.8426,65.0497,822.3327,757.2830,FAUWZNGPMHRLMW,euphodendroidin N,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1O,801.0780,251,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
128,0.4372,445.2049,722.3151,1167.5200,CBIMCRGYNDQVSY,"4-O-Acetyl-6-deoxy-2-O-(6-deoxy-alpha-L-mannopyranosyl)-3-O-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydro-2-furanyl]-1-O-[(2beta,3beta,5xi,9xi)-3-(beta-D-glucopyranuronosyloxy)-2,23-dihydroxy-23,28-dioxoolean-12-en-28-yl]-beta-D-galactopyranose",C[C@@H]1O[C@@H](O[C@H]2[C@@H](O[C@H](C)[C@H](OC(C)=O)[C@@H]2O[C@@H]3OC[C@](O)(CO)[C@H]3O)OC(=O)[C@]45CCC(C)(C)C[C@H]4C/6=C/CC7[C@@]8(C)C[C@H](O)[C@H](O[C@@H]9O[C@@H]([C@@H](O)[C@H](O)[C@H]9O)C(O)=O)[C@](C)(C8CC[C@@]7(C)[C@]6(C)CC5)C(O)=O)[C@H](O)[C@H](O)[C@H]1O,792.2760,252,,,,,,Oleanane triterpenoids,Triterpenoids,Terpenoids
129,0.8636,0.0025,678.2875,678.2900,PHKOJKSYBBXXED,Rifamycin W,C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=O)C3=C(C(=C(C(=C3C2=O)O)C)O)C(=O)/C(=C/[C@@H]([C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)O)C)O)CO)/C)/C,784.6140,253,Organic compounds,Phenylpropanoids and polyketides,Macrolactams,,Macrolactams,Ansa macrolides,Macrolides,Polyketides
130,0.7297,83.9971,739.3179,823.3150,MYTOZWCQVXHVIO,"""2,5,8,9-tetracetoxy-15-hydroxy-3-benzoyloxyacetoxy-7-isobutyroyloxy-14-oxojatropha-6(17),11E-diene""",C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C)=O)=C)=O)[C@]2([H])[C@H]1OC(COC(C3=CC=CC=C3)=O)=O,801.7250,254,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
131,0.8917,0.0012,761.3012,761.3000,WKGYNBDVOPHKOW,terracinolide C,O[C@@H]1[C@@]([C@@H](OC2=O)[C@](CC2)(OC(C)=O)[C@H](OC(C(C)C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C/[C@H](C)C3=O)([H])[C@]3(OC(C)=O)C[C@]1(OC(C)=O)C,801.3300,256,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
132,0.8426,28.9955,822.3325,793.3370,USUPWKOUEKWYER,euphodendroidin K,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C(C)C)=O,801.0780,261,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
133,0.7484,97.5961,432.1839,529.7800,OKYGXEZRRBTWOQ,[Ala9]-moroidin-[QLLVWRAH],CC(C)C1C(C(NC(CC(C)C)C(NC(C(C)C)C(NC(C(NC(C(NCC(NC(CC2=CN3C=N2)C(NC(C)C(O)=O)=O)=O)=O)CCCNC(N)=N)=O)CC4=C3NC5=C4C=CC1=C5)=O)=O)=O)NC(C6NC(CC6)=O)=O,806.3940,263,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,Cyclic peptides,Oligopeptides,Amino acids and Peptides
134,0.8226,22.0416,863.3596,841.3180,VVIZBYAUHQFAHF,euphodendroidin Q,C[C@@]1(OC(C2=CN=CC=C2)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C3=CN=CC=C3)=O)[C@H](OC(C)=O)[C@@H](OC(C4=CC=CC=C4)=O)C([C@@H]5OC(C)=O)=C)=O)[C@]5([H])[C@H]1OC(C)=O,806.3940,264,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
135,0.8226,27.1613,799.3407,826.5020,YBQOZZHZAJCTLD,xentrivalpeptide E,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)C(C)C)C(C)C)C(C)C)CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C,808.7890,265,,,,,,Cyclic peptides; Depsipeptides,Oligopeptides,Amino acids and Peptides; Polyketides
136,0.4369,464.2673,400.1748,864.4421,ZWTDABBYXDAIOL,"N-[3-[5,17-bis[3-[acetyl(hydroxy)amino]propyl]-14-benzyl-8-(hydroxymethyl)-11-(2-methylpropyl)-3,6,9,12,15,18-hexaoxo-1,4,7,10,13,16-hexazacyclooctadec-2-yl]propyl]-N-hydroxyacetamide",CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CO)CCCN(C(=O)C)O)CCCN(C(=O)C)O)CCCN(C(=O)C)O)CC2=CC=CC=C2,814.2730,268,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,Cyclic peptides; Lipopeptides,Oligopeptides,Amino acids and Peptides
137,0.9422,0.0005,637.2625,637.2620,IXGXYZXRENQKBA,"5,6,7-triacetoxy-3-benzoyloxy-14,15-dihydroxy-9-oxojatropha-6(17),11E-diene (8)",C=C([C@@H]1OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C(C(C)(C)/C=C/[C@@H](C)[C@H](O)[C@]2(O)[C@]1([H])[C@@H](OC(C3=CC=CC=C3)=O)[C@@H](C)C2)=O,820.3630,273,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
138,0.6626,157.1605,764.3261,921.4866,GBUQOBUNFQDAQG,Stachybocin C,C[C@@H]1CCC2[C@@]([C@@]13CC4=C(C=C5C(=C4O3)CN(C5=O)[C@@H](CCCCN6CC7=C8C(=C(C=C7C6=O)O)C[C@@]9(O8)[C@@H](CCC1[C@@]9(C[C@H]([C@H](C1(C)C)O)O)C)C)C(=O)O)O)(CC[C@H](C2(C)C)O)C,836.2010,286,Organic compounds,Organoheterocyclic compounds,Isoindoles and derivatives,Isoindolines,Isoindolones,Isoindole alkaloids,Pseudoalkaloids,Alkaloids
139,0.6649,25.0519,613.2652,638.3171,NOFXXAHHOJWYAL,MEGxp0_000277,C=C1[C@H](OC(C)=O)[C@H]2[C@@H](OC(C)=O)C(C)C[C@]2(OC(C)=O)C(=O)[C@H](C)/C=C/C(C)(C)C(=O)[C@H](OC(=O)C(C)C)[C@H]1OC(C)=O,822.4850,287,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
140,0.7484,165.2813,724.2997,889.5810,KWOZSBGNAHVCKG,Bacteriopheophytin,CC[C@@H]1[C@H](C2=CC3=C(C(=C(N3)C=C4[C@H]([C@@H](C(=N4)C5=C6C(=C(C(=CC1=N2)N6)C)C(=O)[C@@H]5C(=O)OC)CCC(=O)OC/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)C)C(=O)C)C,822.4430,293,,,,,,,,Alkaloids
141,0.6649,7.9711,685.3129,693.2840,INCBRFFLYVOXNY,euphodendroidin J,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3O)=C)=O)[C@]3([H])[C@H]1OC(C4=CC=CC=C4)=O,822.7520,294,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
142,0.8226,73.9804,683.3036,757.2840,FAUWZNGPMHRLMW,euphodendroidin N,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1O,823.8180,295,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
143,0.4369,298.0101,641.2941,343.2840,AYKLIWUJRVTDSO,3-hydroxy nonanoic acid-C11:0,CCCCCCCCCCC(OC(CCCCCC)CC(O)=O)=O,825.3300,297,,,,,,Fatty acid estolides,Fatty esters,Fatty acids
144,0.9703,0.0001,723.2989,723.2990,IIUWCHJZJFSKMD,euphodendroidin F,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,823.6350,299,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
145,0.6649,126.0560,841.3483,715.2923,KLSSFMQBLMDBRQ,"[(1R,2R,3aR,5R,6E,10R,11S,13R,13aS)-1,2,3a,11,13-pentaacetyloxy-2,5,8,8-tetramethyl-12-methylidene-4,9-dioxo-3,5,10,11,13,13a-hexahydro-1H-cyclopenta[12]annulen-10-yl] 2-methylbutanoate",CCC(C)C(=O)O[C@@H]1[C@H](C(=C)[C@@H]([C@H]2[C@H]([C@](C[C@@]2(C(=O)[C@@H](/C=C/C(C1=O)(C)C)C)OC(=O)C)(C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,833.2920,302,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
146,0.6268,1106.5035,421.1814,1527.6849,ODCQAZGUPKQTMK,"(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,12aS,14bR)-8a-[(2S,3R,4R,5S,6R)-5-[3,4-dihydroxy-6-methyl-5-(3,4,5-trihydroxyoxan-2-yl)oxyoxan-2-yl]oxy-3-hydroxy-6-methyl-4-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]oxycarbonyl-4-formyl-8-hydroxy-4,6a,6b,11,11,14b-hexamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3-hydroxy-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxane-2-carboxylic acid",CC1OC(O[C@@H]2[C@@H](O)[C@H](OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CCC5[C@@]6(C)CC[C@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O)[C@@](C)(C=O)C6CC[C@@]5(C)[C@]3(C)C[C@H]4O)O[C@H](C)[C@@H]2OC2OC(C)C(OC3OCC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,835.7810,304,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Triterpene saponins,Oleanane triterpenoids,Triterpenoids,Terpenoids
147,0.6481,97.9490,659.3060,757.2550,JMBINOWGIHWPJI,forsythoside B,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,832.8250,309,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,Cinnamic acids and derivatives; Phenylethanoids,Phenylethanoids (C6-C2); Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
148,0.8226,29.0109,764.3261,793.3370,USUPWKOUEKWYER,euphodendroidin K,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C(C)C)=O,836.8710,311,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
149,0.5251,25.0495,788.3465,763.2970,GNWXDTTUAREYAS,3-O-detigloyl-3-O-benzoyl-12-acetoxyswietephragmin C,O[C@@]12[C@]3(O)[C@@H](OC(C4=CC=CC=C4)=O)[C@@](C2)(C)[C@H](CC(OC)=O)[C@@]1(C)[C@]5(O6)[C@@]7(C([C@@]8(C)[C@@H](OC(C)=O)C5)=CC(O[C@H]8C9=COC=C9)=O)[C@@H]3OC6(C(C)CC)O7,851.5550,315,,,,,,Limonoids,Triterpenoids,Terpenoids
150,0.7484,425.4000,464.1810,889.5810,KWOZSBGNAHVCKG,Bacteriopheophytin,CC[C@@H]1[C@H](C2=CC3=C(C(=C(N3)C=C4[C@H]([C@@H](C(=N4)C5=C6C(=C(C(=CC1=N2)N6)C)C(=O)[C@@H]5C(=O)OC)CCC(=O)OC/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)C)C(=O)C)C,847.4570,317,,,,,,,,Alkaloids
151,0.7484,187.0840,742.3440,555.2600,WTSPVECFSGMMDM,"1.(3S,4S,21R)-14-Ethyl-21-hydroxy-9-(hydroxymethyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoic acid",OC(CC[C@H]1[C@@H](C2=N/C1=C([C@@H](O)C3=O)\C4=C3C(C)=C(N4)/C=C5N=C(C(C)=C\5CC)/C=C(N/6)/C(CO)=C(C6=C\2)C)C)=O,844.4100,319,,,,,,Carbazole alkaloids,Tryptophan alkaloids,Alkaloids
152,0.8226,64.9916,776.3264,841.3180,VVIZBYAUHQFAHF,euphodendroidin Q,C[C@@]1(OC(C2=CN=CC=C2)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C3=CN=CC=C3)=O)[C@H](OC(C)=O)[C@@H](OC(C4=CC=CC=C4)=O)C([C@@H]5OC(C)=O)=C)=O)[C@]5([H])[C@H]1OC(C)=O,858.4600,321,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
153,0.6649,785.3052,816.3424,1601.6476,ZIHHMGTYZOSFRC,COENZYME B12,CC1=C2N=C(C=C3N=C(C(C)=C4NC(C)(C5N=C1C(C)(CCC(O)=NCC(C)OP(=O)(O)O[C@H]1[C@@H](O)[C@@H]([n+]6c[nH]c7cc(C)c(C)cc76)O[C@@H]1CO)C5CC(=N)O)C(C)(CC(=N)O)C4CCC(=N)[O-])C(C)(CC(=N)O)C3CCC(=N)[O-])C(C)(C)C2CCC(=N)[O-].[CH2][C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[Co+2],855.2810,323,,,,,,,,
